mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_cache_size,param_class_weight,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0024005889892578123,0.0004896293271745084,0.002205944061279297,0.00025128773533167326,46.41588833612777,2000,balanced,3.593813663804626,rbf,"{'C': np.float64(46.41588833612777), 'cache_size': 2000, 'class_weight': 'balanced', 'gamma': np.float64(3.593813663804626), 'kernel': 'rbf'}",0.6124999999999999,0.8687499999999999,0.7875000000000001,0.7687074829931972,0.5857142857142856,0.7246343537414965,0.10820050673425748,38
0.002506065368652344,0.000632678089479433,0.0016003131866455078,0.0004901156389733479,1000.0,2000,"{1: 2, 0: 1}",3.593813663804626,poly,"{'C': np.float64(1000.0), 'cache_size': 2000, 'class_weight': {1: 2, 0: 1}, 'gamma': np.float64(3.593813663804626), 'kernel': 'poly'}",0.56875,0.8687499999999999,0.825,0.7755102040816326,0.5714285714285714,0.7218877551020408,0.12740891573850957,39
0.0018013954162597657,0.00040061682070178666,0.002910757064819336,0.0005917538489947711,46.41588833612777,2000,"{1: 2, 0: 1}",10.0,poly,"{'C': np.float64(46.41588833612777), 'cache_size': 2000, 'class_weight': {1: 2, 0: 1}, 'gamma': np.float64(10.0), 'kernel': 'poly'}",0.56875,0.8687499999999999,0.825,0.7755102040816326,0.5714285714285714,0.7218877551020408,0.12740891573850957,39
0.002308940887451172,0.0003990483089627025,0.002604246139526367,0.0009699993129213099,359.38136638046257,2000,balanced,1.2915496650148828,rbf,"{'C': np.float64(359.38136638046257), 'cache_size': 2000, 'class_weight': 'balanced', 'gamma': np.float64(1.2915496650148828), 'kernel': 'rbf'}",0.6,0.875,0.78125,0.7619047619047619,0.5857142857142856,0.7207738095238095,0.11132136427983948,41
0.002005147933959961,6.9320381251240005e-06,0.002101278305053711,0.0007997049130126485,359.38136638046257,2000,"{1: 3, 0: 1}",1.2915496650148828,rbf,"{'C': np.float64(359.38136638046257), 'cache_size': 2000, 'class_weight': {1: 3, 0: 1}, 'gamma': np.float64(1.2915496650148828), 'kernel': 'rbf'}",0.61875,0.8625,0.75625,0.7687074829931972,0.5928571428571429,0.719812925170068,0.10040859030682744,42
0.0020017623901367188,1.8590534867875983e-06,0.0028131484985351564,0.0013873910867138307,129.15496650148827,2000,"{1: 3, 0: 1}",1.2915496650148828,rbf,"{'C': np.float64(129.15496650148827), 'cache_size': 2000, 'class_weight': {1: 3, 0: 1}, 'gamma': np.float64(1.2915496650148828), 'kernel': 'rbf'}",0.6249999999999999,0.875,0.7375,0.7755102040816326,0.5857142857142856,0.7197448979591836,0.10437428843652338,43
0.002201747894287109,0.0007491707762932851,0.0022063255310058594,0.00025189646702813767,46.41588833612777,2000,balanced,10.0,poly,"{'C': np.float64(46.41588833612777), 'cache_size': 2000, 'class_weight': 'balanced', 'gamma': np.float64(10.0), 'kernel': 'poly'}",0.575,0.8625,0.81875,0.7755102040816326,0.5642857142857143,0.7192091836734693,0.12522620099674286,44
0.002909088134765625,0.0008088774620766316,0.0031043529510498048,0.0011574368990533313,1000.0,2000,balanced,3.593813663804626,poly,"{'C': np.float64(1000.0), 'cache_size': 2000, 'class_weight': 'balanced', 'gamma': np.float64(3.593813663804626), 'kernel': 'poly'}",0.575,0.8625,0.81875,0.7755102040816326,0.5642857142857143,0.7192091836734693,0.12522620099674286,44
0.0024123191833496094,0.0014106634228120518,0.0026070117950439454,0.0005881791391204291,2.1544346900318834,2000,"{1: 2, 0: 1}",10.0,poly,"{'C': np.float64(2.1544346900318834), 'cache_size': 2000, 'class_weight': {1: 2, 0: 1}, 'gamma': np.float64(10.0), 'kernel': 'poly'}",0.5625,0.88125,0.81875,0.7755102040816326,0.5571428571428572,0.7190306122448981,0.13428217169354806,46
0.0016035079956054688,0.00048680549527181584,0.0028028964996337892,0.0009288131482122447,1000.0,2000,"{1: 2, 0: 1}",1.2915496650148828,poly,"{'C': np.float64(1000.0), 'cache_size': 2000, 'class_weight': {1: 2, 0: 1}, 'gamma': np.float64(1.2915496650148828), 'kernel': 'poly'}",0.5625,0.88125,0.81875,0.7755102040816326,0.5571428571428572,0.7190306122448981,0.13428217169354806,46
0.0020026206970214845,0.0005498175106995608,0.0031058788299560547,0.0009191933017920222,46.41588833612777,2000,"{1: 2, 0: 1}",3.593813663804626,poly,"{'C': np.float64(46.41588833612777), 'cache_size': 2000, 'class_weight': {1: 2, 0: 1}, 'gamma': np.float64(3.593813663804626), 'kernel': 'poly'}",0.5625,0.88125,0.81875,0.7755102040816326,0.5571428571428572,0.7190306122448981,0.13428217169354806,46
0.0032073020935058593,0.002343549811424175,0.0033079147338867187,0.0016405473360038096,5.994842503189409,2000,"{1: 3, 0: 1}",10.0,rbf,"{'C': np.float64(5.994842503189409), 'cache_size': 2000, 'class_weight': {1: 3, 0: 1}, 'gamma': np.float64(10.0), 'kernel': 'rbf'}",0.6062500000000001,0.90625,0.73125,0.7755102040816326,0.5714285714285714,0.7181377551020409,0.12074121074814491,49
0.003609323501586914,0.0007340764502410008,0.0028037548065185545,0.0005110017658080578,359.38136638046257,2000,"{1: 2, 0: 1}",10.0,poly,"{'C': np.float64(359.38136638046257), 'cache_size': 2000, 'class_weight': {1: 2, 0: 1}, 'gamma': np.float64(10.0), 'kernel': 'poly'}",0.5375000000000001,0.78125,0.76875,0.8231292517006803,0.6785714285714286,0.717840136054422,0.10174774594617558,50
